,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
7,Gift & A Curse,1U4pYd8XGOYr9GvKqIprCa,Traumazine,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",172155,69,True,0.933,0.757,11,-4.602,1,0.282,0.0265,0.0,0.139,0.829,140.078,Feelin'_Myself
9,Bout U,3QWiUcQwaFsR7a4U1zOKmX,Bout U,Kali,1YRqgFNXqRyMDRr8ClS1NL,"['alternative r&b', 'viral rap']",159755,26,True,0.868,0.409,6,-7.104,0,0.131,0.00169,0.00552,0.23,0.294,145.059,Feelin'_Myself
10,HDBG Shemix,2A59foYLjX4iUuvtncE8BZ,HDBG Shemix,cupcakKe,76SlrtEaq2oViRXulxjfuM,"['chicago rap', 'dance pop', 'pop', 'rap', 'trap queen', 'viral rap']",141453,57,True,0.867,0.612,6,-7.765,0,0.34,0.137,0.0,0.0964,0.908,166.019,Feelin'_Myself
12,Shabooya,6PphODv2LB2b9BWK9lhWuY,Shabooya,Hitkidd,5pR1zWq3UPsOpW1pTWayLf,"['memphis hip hop', 'viral rap']",178733,52,True,0.878,0.62,9,-4.956,0,0.289,0.00782,0.0,0.0635,0.835,145.016,Feelin'_Myself
14,Think It’s Funny (feat. Babyface Ray),1mwj7ag32lH1x6nZyFtGPh,Lebra Jolie,Lebra Jolie,3ej8SuMJzEgwFLe2lCBikV,"['houston rap', 'trap queen']",151903,0,True,0.881,0.782,11,-4.603,0,0.31,0.00654,1.83e-06,0.0827,0.765,152.047,Feelin'_Myself
15,Mind Yo Business (Feat. Latto),5hR1PFUnx0uRkqYsW4Z4ja,Mind Yo Business (Feat. Latto),Lakeyah,77gMBvQ2frbQAPyCeoYGm7,"['pop r&b', 'r&b', 'rap', 'viral rap']",122266,66,True,0.961,0.557,10,-6.743,0,0.321,0.0251,0.0,0.0828,0.742,118.031,Feelin'_Myself
16,Fly Sh!t,3HbMXSKuTdKWChpvMIKhg5,Fly Sh!t,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,"['new jersey underground rap', 'r&b', 'rap', 'trap queen', 'viral rap']",135133,65,True,0.832,0.452,6,-6.631,0,0.138,0.199,0.0,0.105,0.525,135.022,Feelin'_Myself
17,Ass For Days,4xsLRqemrXE402nb3GHUVj,Life In Plastic 3,DreamDoll,1nsdnHv49z0H5oPj3sJ3to,"['hip pop', 'trap queen', 'viral rap']",164594,53,True,0.89,0.693,1,-6.137,1,0.2,0.0231,0.0,0.279,0.94,139.922,Feelin'_Myself
18,Blessed,2DNOQSfV9U1Wen1uffsdeP,Blessed,GloRilla,2qoQgPAilErOKCwE2Y8wOG,[],216000,66,True,0.842,0.751,2,-7.308,1,0.458,0.241,0.0,0.111,0.325,79.95,Feelin'_Myself
19,Outside (feat. Fivio Foreign),5zbxkF1osnZlRAknPax4D9,Outside,Young Devyn,5JPJZcr0m2OkOEA1pagpSb,[],196312,57,True,0.826,0.672,11,-7.348,0,0.388,0.101,0.0,0.13,0.852,73.509,Feelin'_Myself
21,Real Bitch (feat. Gloss Up),4zH4kR30s4Cx6HMvodrf32,Real Bitch (feat. Gloss Up),Lakeyah,77gMBvQ2frbQAPyCeoYGm7,"['pop r&b', 'r&b', 'rap', 'viral rap']",124904,61,True,0.929,0.719,7,-5.295,1,0.265,0.0786,0.0,0.0744,0.722,101.948,Feelin'_Myself
